pvs_id,mode,context,O46
TR04_SRC001_HRC01,0,mobile,4.9522177313124995
TR04_SRC001_HRC01,1,mobile,4.906801342313591
TR04_SRC001_HRC01,2,mobile,4.976099908325
TR04_SRC001_HRC01,3,mobile,4.9745111899375
TR04_SRC001_HRC01,0,pc,4.9522177313124995
TR04_SRC001_HRC01,1,pc,4.906801342313591
TR04_SRC001_HRC01,2,pc,4.976099908325
TR04_SRC001_HRC01,3,pc,4.9745111899375
TR04_SRC003_HRC02,0,mobile,1.3769446109053214
TR04_SRC003_HRC02,1,mobile,1.3253702799170763
TR04_SRC003_HRC02,2,mobile,1.3445010540409728
TR04_SRC003_HRC02,3,mobile,1.3249463177821297
TR04_SRC003_HRC02,0,pc,1.3769446109053214
TR04_SRC003_HRC02,1,pc,1.3253702799170763
TR04_SRC003_HRC02,2,pc,1.3445010540409728
TR04_SRC003_HRC02,3,pc,1.3249463177821297
TR04_SRC004_HRC02,0,mobile,1.3833991962262835
TR04_SRC004_HRC02,1,mobile,1.3165176959204752
TR04_SRC004_HRC02,2,mobile,1.3185927149702683
TR04_SRC004_HRC02,3,mobile,1.3352603803752423
TR04_SRC004_HRC02,0,pc,1.3833991962262835
TR04_SRC004_HRC02,1,pc,1.3165176959204752
TR04_SRC004_HRC02,2,pc,1.3185927149702683
TR04_SRC004_HRC02,3,pc,1.3352603803752423
TR04_SRC002_HRC01,0,mobile,4.9522177313124995
TR04_SRC002_HRC01,1,mobile,4.6693286776818645
TR04_SRC002_HRC01,2,mobile,4.8927134898375
TR04_SRC002_HRC01,3,mobile,4.88867685815
TR04_SRC002_HRC01,0,pc,4.9522177313124995
TR04_SRC002_HRC01,1,pc,4.6693286776818645
TR04_SRC002_HRC01,2,pc,4.8927134898375
TR04_SRC002_HRC01,3,pc,4.88867685815
TR04_SRC103_HRC80,0,mobile,3.631889687549534
TR04_SRC103_HRC80,1,mobile,2.881179974879721
TR04_SRC103_HRC80,2,mobile,2.920807823668318
TR04_SRC103_HRC80,3,mobile,3.3948151953548544
TR04_SRC103_HRC80,0,pc,3.631889687549534
TR04_SRC103_HRC80,1,pc,2.881179974879721
TR04_SRC103_HRC80,2,pc,2.920807823668318
TR04_SRC103_HRC80,3,pc,3.3948151953548544
TR04_SRC104_HRC88,0,mobile,3.9118754725213494
TR04_SRC104_HRC88,1,mobile,3.702724659711972
TR04_SRC104_HRC88,2,mobile,3.9075309346838494
TR04_SRC104_HRC88,3,mobile,3.9075309346838494
TR04_SRC104_HRC88,0,pc,3.9118754725213494
TR04_SRC104_HRC88,1,pc,3.702724659711972
TR04_SRC104_HRC88,2,pc,3.9075309346838494
TR04_SRC104_HRC88,3,pc,3.9075309346838494
TR04_SRC112_HRC83,0,mobile,3.9572075740339905
TR04_SRC112_HRC83,1,mobile,3.7715070443922922
TR04_SRC112_HRC83,2,mobile,3.786112461998572
TR04_SRC112_HRC83,3,mobile,3.3797705243427383
TR04_SRC112_HRC83,0,pc,3.9572075740339905
TR04_SRC112_HRC83,1,pc,3.7715070443922922
TR04_SRC112_HRC83,2,pc,3.786112461998572
TR04_SRC112_HRC83,3,pc,3.3797705243427383
TR04_SRC108_HRC92,0,mobile,3.106616820822634
TR04_SRC108_HRC92,1,mobile,3.095679167832825
TR04_SRC108_HRC92,2,mobile,3.121592076292694
TR04_SRC108_HRC92,3,mobile,3.1261544919958966
TR04_SRC108_HRC92,0,pc,3.106616820822634
TR04_SRC108_HRC92,1,pc,3.095679167832825
TR04_SRC108_HRC92,2,pc,3.121592076292694
TR04_SRC108_HRC92,3,pc,3.1261544919958966
TR04_SRC120_HRC95,0,mobile,3.150464617682167
TR04_SRC120_HRC95,1,mobile,3.0919930543074816
TR04_SRC120_HRC95,2,mobile,3.203106726176692
TR04_SRC120_HRC95,3,mobile,3.2406481592240346
TR04_SRC120_HRC95,0,pc,3.150464617682167
TR04_SRC120_HRC95,1,pc,3.0919930543074816
TR04_SRC120_HRC95,2,pc,3.203106726176692
